"","Insult","Comment"
"1085",0,"""Say you are right Then let private business build and run the rail. """
"1087",0,"""Where are you readin that? I see 15 DL """
"1088",0,"""he didnt but killing a dog with your bare hands and making it suffer while doing so is something only a sociopath could do. Child molesters, dog killers are both sociopaths. Stop acting like killing a dog by drowning is some normal thing. He's a seriously sick person and shouldn't be allowed to play in the NFL. Good luck getting a good job in the corporate world with that on your record and for good reason. """
"1089",0,"""fuuuck i need a dodgers win !!!"""
"1090",0,"""yes...yes you are :)"""
"1091",0,"""the murderer in Seattle has his CCL. shot 4 dead in a coffee house then shot another when he jacked her car.  pretty irresponsible behavior if you ask me. """
"1094",0,"""the black community is fucked... always will be, Willy Lynch is in hell poppin bottled water and throwing confetti flames!"""
"1096",0,"""lawl bro, where were you last year?"""
"1098",0,"""Hey @avclub-1898a4d76532f237d9b5c0592dfe71a9:disqus, quit using ""4"" and ""2"" instead of ""for"" and ""to"". Believe me, you fucking aren't Prince."""
"1103",0,"""@toopoo............. why are you sweating??  Cant handle facts eh??"""
"1104",0,"""are you changing the ""~username"" to your username?"""
"1105",0,"""ab-so-fucking-lutely PERFECT! Da-YUM you sir are a very HOT MAN!"""
"1106",0,"""Is it gay if you tried to suck your own dick?   I never tried it...Just Wondering...  Thoughts?"""
"1107",0,"""Where is your source?"""
"1109",0,"""So you've been to New Haven CT."""
"1111",0,"""Of course, you know that if you are gardening you don't get to sit very much : )"""
"1119",0,"""Why then are you liberals targeting women ?  """
"1122",0,"""Ny niggasneed to stop hatin. The only major nigga still living that just blew in the past 15 yrs. is Jay-Z. That boy Nas is good. All the rest of them\ufeff New york niggaz is garbage. Mobb Deep's first video was flossing a Honda Accord or a Acura. Fuck you diabetic lookin niggaz!!"""
"1123",0,"""Yes you are.....now try and fix it"""
"1124",0,"""Screw you;)"""
"1125",0,"""WaPo ""exist to publish news""? You are truly ""lostinthemiddle""."""
"1126",0,"""FUCK i wanted to say that lmao"""
"1127",0,"""you are angels fan. not a la losers fan so keep watching game"""
"1128",0,"""What the fuck are you talking about? Common wasn't trying to end his career. He made a song, Drake felt some kind of way and starting talking hard shit talking about ""say my name"". Common said his name and that Drake showed his pussy lips and said I'm not going to reply because I'm to big. But yet he can try and diss Lil Kim thought right? Drake is a pussy straight up!"""
"1130",0,"""are you thinking about getting one..."""
"1131",0,"""I wonder how you would do as president....I'm sure you have fulfilled every promise you have ever made right? I am sure you are perfect and never make mistakes and I'm sure you walk on water because you sound a little holier than thou """
"1133",0,"""""end-of-the-line"" ugliness means...really fucking ugly. That picture is pretty unflattering, but it's not something I would give a second glance to if I were walking by her on the street. """
"1135",0,"""punchyour dad"""
"1137",0,"""... and you were good as a baby ... then look what happened."""
"1138",0,"""Congrats on the new job, it is definitely worth a little splurging!"""
"1139",0,"""Where did you read anything about attempted suicide?"""
"1141",0,"""Bath Salts. Gosh.  But seriously, bath salts come in 500 mg packets. Most of the idiots taking that shit don't realize you are only supposed to take 10 mg at a time- most of them take it all at once. This leads to some seriously, seriously fucked up people doing some seriously fucked up shit. And they aren't even close to being banned in most states yet. Do yourself a favor and stay the fuck far away from that shit."""
"1143",0,"""Yep, that is it, and you are my park ranger so get back to work."""
"1144",0,"""you dont need to play it...you are it"""
"1145",0,"""Haha you were serious"""
"1146",0,"""are you really a former pro athlete?"""
"1147",0,"""Thank you so much Neha :)"""
"1148",0,"""This had better be the last time I hear some shit like this or I ma board up my crib load up on guns and play resident evil to sharpen my shooting cuz I ain't goin down without a fight.wrd2everything"""
"1149",0,"""The juxtaposition of the Jaguar pitch and Joan's evening was fucking brutal. I thought I was going to die.  Pete Campbell you horrible, horrible man."""
"1150",0,"""Good night! present: porn creampies  and - <a href=http://www.euamateurvids.com/>blackberry porn downloads </a>  henitia porn black gay porn dvd got gay porn porn star awards  <a href=http://voyeur.eurovids.us/>george of the jungle porn </a>  porn homemade porn women and machinary adult porn comic collection  <a href=http://www.coamateur.com/>celebrites porn </a>  free streaming porn tube foxxy love drawn together porn charlie porn games  <a href=http://www.asamateur.com/>free amasture porn </a>  india homosexual you porn  <a href=http://interracial.eurovids.us/>dee porn pics </a>  real hookers porn site ... See you later! \r <a href=http://global-oriflame.net/>Globa Oriflamel online</a> \r <a href=http://kamagra-paypal-online.blog.hr/>Buy Generic Online Kamagra drug </a>"""
"1155",0,"""WHAT SIZE ARE YOU? """
"1156",0,"""Wow you are sensitive. This trailer is amazing."""
"1157",0,"""kill the unborn women. not too smart when you are pointing fingers at the republicans for waging war on them. hysterical liberals talking points but they go beyond to action. kill the potential women voters you want to count on. this is a real loser for you progressive liberals."""
"1158",0,"""wow are you serious?  hahahaha"""
"1159",0,"""Vorhin hatte ich meine albernen 5 Minuten. Nun antworte ich mal ernsthaft. Also, ich meine, wenn man alleine lebt, muss man doch nicht in die Einsamkeit ziehen und da versauern! Eben gerade dann nicht! Das ist doch der Albtraum. Man kann dich in irgendeinen Verein eintreten oder so, in einen Chor gehen, da kriegt man schnell Anschluss. Wenn man dann noch arbeitet, sind ja viele Stunden vom Tag schon weg. Und warum kein gemeinsames Konto? WEenn beide arbeiten, warum soll man dann alles zusammenschmei\xdfen? Wenn nur einer arbeitet, ist es viell. was anderes."""
"1161",0,"""I know she's black, and I know everyone else knows she's black - she only has very light skin.  This is like asking 'Are people aware Michael Jackson is black anymore'?  Yes.  Us white folks still know MJ was black, just with white skin - same with Nicki.  If you're born black, you're black - doesn't matter what you do with your skin after that point or how you try to portrait yourself. """
"1165",0,"""They crushed the ONLY good car in that whole movie... Wow. And this was SO much more important than finding where shipments of drugs, illegal weapons, or illegal immigrants were going. How about taking the resources you fucking wasted to ruin this guy's life and put them towards enriching the lives of others? Put that money into a fucking school or something. Shit, I don't know..."""
"1166",0,"""bro your caps lock is stuck"""
"1167",0,"""I just fucking vomitted """
"1168",0,"""Thank you HEAVENLY FATHER, for JESUS, YOUR MERCY & GRACE daily. = ] you are definitely my power source ...my everything =]"""
"1169",0,"""you already are """
"1171",0,"""I mean, have we learnt nothing from the Catholics??? When you stomp on natural human urges, you fuck with people's brains. You give them a distorted view of their bodies and those of others. All sanctified by the church. Terrible. """
"1173",0,"""wow, someone doesn't like you"""
"1175",0,"""PUSSY T AINT FUCKING WITH WAYNE LYRICALLY CHECK HIS MIXTAPES AND ALBUMS WAYNE IS WAY MORE SUCCESSFUL THAN PUSSY T AND RICHER"""
"1179",0,"""@renoirmajerNo. It's always about money. You're just older now and you lament because you can't ignore it. Life is much better when you can enjoy games as entertaining as this one to its fullest."""
"1182",0,"""Bennett's made me laugh so fucking hard, hahaha!"""
"1183",0,"""Looks like your stair case!!"""
"1184",0,"""You're the proof."""
"1185",0,"""Foreigners are perfectly welcome in China, unless your name is George Bush or Dick Cheney we won't arrest you haha!"""
"1187",0,"""I tried the brown sugar scrub. Doesn't smell very well. When not using....the oil goes to the top &you will have to restir. Does leave your skin feeling silky."""
"1188",0,"""always nice blond uk girls and some tanned guy from the south europe man they south euros have all the fun and dont even talk about porn its all tanned guys with uk girls man its fucking not right"""
"1191",0,"""Mexico win 2-0...?????..What are you smoking dude."""
"1193",0,"""You are a hoot, Beckie!"""
"1194",0,"""Next life?   Are you Hindu ?"""
"1199",0,"""You get a derp for effort."""
"1200",0,"""Goodnight to you and the rest of your cop friends AND your inside ""jokes."" """
"1202",0,"""Westbrook is going to learn like AI did.  When you are a crappy PG, your team suffers while your stats soar.  BTW AI>Westbrook  ;)"""
"1205",0,"""You mean Bitterman has a white trash inflatable?  """
"1208",0,"""you sounded nervous as fuck but i would be too! GOOD FUCKING JOB DUDE PROUD OF YOU. """
"1211",0,"""What is your point? Or do you have one?"""
"1213",0,"""Your paintings are beautiful Charlotte!! """
"1215",0,"""you are proving yet again that Liberals are masters of doublethink. """
"1216",0,"""Are you his employer?.......see how this works?"""
"1217",0,"""I'm guessing English is not your first language. He was being sarcastic."""
"1220",0,"""Spent more than all others combined. Are you insane?"""
"1222",0,"""anna you are so talented! """
"1224",0,"""who the fuck gives a shit peanut what Forbes says? that's like if fucking People magazine wrote up an opinion paper about Diablo3. It wouldn't be worthy of wiping my ass with."""
"1225",0,"""ssshhhhhh you are being logical"""
"1228",0,"""como siempre de estupidos e ignorantes siempre se equivocan,a poco no saben distinguir?? ba!!"""
"1229",0,"""Did you really think little Georgie's mess could be cleaned up in 3 years?"""
"1231",0,"""fuck the insiders i watch the games we suck"""
"1234",0,"""you just have to plan for the idiots thats all :)"""
"1236",0,"""over 68,000 views fuck boy.......get some money about yourself"""
"1239",0,"""Fuck Texas. Too hot to even visit that bitch. Who the fuck ever says OOOOOO I'm going to Texas. I'll wait for it... NO fucking body."""
"1241",0,"""0:2, damn you and your winning ways."""
"1243",0,"""you are correct sir"""
"1244",0,"""would you ever come to the UK """
"1247",0,"""don sounded like wrathful betty in that moment.  don was A Woman Scorned.  know you know how that shit feels, don."""
"1251",0,"""I hate Isla. Dont want that douch in our team. Dirty little idiot. Last time we played against Udinese he played dirty against Vidal like he was trying to prove that he is better than King Arturo. I just have one thing to tell him. In your dreams PEDRO!!!"""
"1253",0,"""Remember anecdotal comments aren't useful? What are you lecturing me? lol"""
"1258",0,"""Lucky you! I adore Doodlebug! Your little pages are too adorable!"""
"1260",0,"""No offense but you are drunk."""
"1261",0,"""what are you talking about ?  """
"1262",0,"""I like your style"""
"1263",0,"""Talk about freedom of speech. we are being denied freedom to defend black pride n only white racist remarks are allowed and published here."""
"1267",0,"""Of course you would say that"""
"1268",0,"""Considering Obama's PREFERRED methods of dealing with prisoners, this may be the best way. I mean, we're not going to get any intel out of them anyway, and any that we DO happen to get will be released to the MSM immediately; letting the other bad guys know what WE know,  so what's the point of capturing these a-holes? Might as well off them. When we get somebody SENSIBLE back in the White House THEN we can go back to capturing them.  You know, at the point when the soldier grabbing the goon doesn't have to worry about getting sued by the cretin who's being represented by one of Barry's personal injury squad because he punched the murderous thug in the chops.     """
"1269",0,"""Are you serving sangria to the 'kiddos' now?"""
"1270",0,"""who so ever you are..... BRAVO!!!"""
"1272",0,"""Where are you in the standings!"""
"1274",0,"""Would be cute on you barb"""
"1276",0,"""For me airsoft guns are good to use for a self defense, yes it cant kill but it can hurt a lot but for goodness sake especially when you are in trouble. Yoursafety will also base upon on how fast your brain can response,"""
"1277",0,"""Do not tell me you are remodeling bathrooms, again!!! :) """
"1278",0,"""You guys are inspiring!!!"""
"1282",0,"""*FUCK NO!!!* UR HELLA ANNOYING EVERYTIME U SING PHILLIP. U SEEMED LYK UR TAKIN A *SHIT* PLUS NO TALENT. JESSICA IS MUCH BETTER!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"""
"1283",0,"""Then you get pujo"""
"1286",0,"""You must be bored. Probably a Cavs fan..."""
"1290",0,"""Edlefson is absolute garbage. Get him the fuck off our team."""
"1291",0,"""tde is the future  fuck this good music young money bullshit - they're both whack anyways"""
"1293",0,"""Fuckin stuttering, repeating the same shit, not rhyming at all, this is what hip hop is all about now."""
"1295",0,"""Naturally you're proud of your own racism."""
"1298",0,"""Yes it does.  Muscle mass turns to fat when you no longer use it.  Steroids make you able to increase the intensity and frequence of your workouts.  Without steroids, you can't maintain that pace.  And therefore, your muscle mass drops.  No different than muscular response when off steroids."""
"1299",0,"""That should have been your name! """
"1301",0,"""@NewYinzer I have no roommates either. Cause I hate bitches. And as a few male friends told me, the ratio of bitches to women like the LOC is like 85/15"""
"1302",0,"""You'll need a ring to remember your rings. """
"1303",0,"""Mal den Teufel nicht an die Wand! Es sei denn, Deutschland schafft seinen euro ab, und die Anderen d\xfcrfen sich allein mit dem ganzen Sch.. herumschlagen."""
"1304",0,"""LMMFAO!!!!!!!!!!!!!!!!!!!! IM WEAK AS FUCK!!!!!!!!!!! ""Are we gonna do coke?!"" That bitch was hilarious the whole vid ..."""
"1305",0,"""You mean fat?"""
"1306",0,"""wow, take it easy buddy! sorry some people don't want to be a slave to money their whole life. If what your talking about is shitting all over people.... i'm all for it! :)"""
"1307",0,"""you guys are looking HAWT!! """
"1308",0,"""Fucking scrabble."""
"1309",0,"""You just know she loves getting railed by big black cocks. Negro brothers are raping her pretty white cunt everyday while all the white boys jerk off to her picturees lol."""
"1310",0,"""that really was messed up that she called that little boy fat. def unnecessary to attack him i wonder if she'd rule against herself if his suicide was due to her talking shit about him on national tv."""
"1311",0,"""You're finding some really cool ideas."""
"1312",0,"""blaahh..your a hoot. And after a thirty pack you must be a wild and crazy guy..."""
"1313",0,"""takenprison is FUCKED NOW SINCE CONNOR GAVE SONBY CO-OWNER HE IS ABUSING LIKE FUCK"""
"1318",0,"""them some ugly motherfuckers. Proof you don't need to be beautiful to make it in Hollywood, you just have to know who to blow. """
"1322",0,"""If we were all assholes, diane sullivan cohen, this forum would be full of shi t."""
"1323",0,"""They also faked the Titanic sinking, so that they could make stupid films about it and earn billions."""
"1324",0,"""Which one are u getting?"""
"1325",0,"""Damn you!"""
"1327",0,"""You are so correct.  Please note: message attached"""
"1329",0,"""miss you friend :( hope your enjoying Quebec! """
"1330",0,"""Not even close. You are factually incorrect. """
"1331",0,"""Let me guess ... you're a soccer fan."""
"1333",0,"""how do you really feel?"""
"1336",0,"""Ha, ha, ha, poznata pedercina sa juzne tribine kaze da ce popusiti Vermezu kurac kao u stara dobra vremena. Sunce ti zareno pa on svoju nastranost i izoblicenost ne skriva, nego javno trazi da mu se stavlja u usta. Fuj, kakva droljetina."""
"1337",0,"""Wetback wife? Where are you getting this? """
"1338",0,"""Where are you guys getting all this money from?"""
"1339",0,"""Occupy rapists? Where did you read they were rapists?"""
"1340",0,"""I hope you are not a Spurs fan... """
"1341",0,"""no....you are if you think the Thunder don't have a damn good chance to win though"""
"1342",0,"""haha i remember dude pulled out his dick they said put it in he said fuck that imma eat her out some more it was like ten mins """
"1343",0,"""<div class=""forum-item forum-reply""><div class=""forum-item-description"">Rivers is a player. he was drafted in the 1st round for a reason. The HInes Ward crackback block cost him an important season starting his 2nd year. Great pickup by the Giants.</div></div>"""
"1344",0,"""Fuck me"""
"1346",0,"""Randa you can't pick your groom off pinterest... Haha Scott's there to stay;) """
"1347",0,"""you sure you aren't wearing your elvis shades?"""
"1348",0,"""hahahaha its tru tho .. im 6'2 and shit aint the same when i do it .. plus i gotta work out like 3 times harder than a short dude to get muscles .. but iss better than being a short lil beeeeeeeiiiittccchh lol"""
"1349",0,"""agreed... if you're too much of a pussy to ride a real bike, don't put yourself and others at risk by strapping into this piece of shit  could you image getting broadsided and crunched in this thing? at least you can lay down or even get off a bike if needed, saved my life before (true story)"""
"1350",0,"""Hi MarinersBaseball08 how are you and the family?"""
"1351",0,"""your fox talking points are showing"""
"1352",0,"""This is just for you Alecia!!!"""
"1353",0,"""Are you going!?"""
"1356",0,"""ahehe all the time, you are boring!"""
"1358",0,"""You are the man,u have been tested. """
"1360",0,"""Rzeczywi\u015bcie, sklepy ze szklanymi witrynami, w kt\xf3rych wystawiony jest sprz\u0119t producenta to innowacja g\xf3wnianego apple i nikt inny nie mo\u017ce otworzy\u0107 sklepu. Jeste\u015b iDiot\u0105, paranoikiem i do tego ignorantem. Zaraz si\u0119 oka\u017ce, \u017ce apple wymy\u015bli\u0142o sra*nie i nikt inny tego robi\u0107 nie b\u0119dzie m\xf3g\u0142..."""
"1361",0,"""Ok start with your street. Let see how all your neighbors will appreciate you and your ideas."""
"1365",0,"""Then, why are you writing in Spanish?"""
"1366",0,"""Fuck that shit. Kobe has 5 rings. Chris 0. GTFOH and i'm a Knicks fan. Smh"""
"1368",0,"""I WILL SLAP ANY NIGGA FROM VIRGINIA, RIGHT THERE IN VIRGINIA, IN ANY SPOT IN VIRGINIA, JUST TO SAY FUCK EVERY NIGGA IN VIRGINIA AND YOU CAN TELL ANY VIRGINIA NIGGA KOTTI KADOTTI SAID THAT!"""
"1373",0,"""LMFAO this nigga got to the ugly girl booty said ""Not you"""""
"1374",0,"""those are two men kissing smh thats that shit i dont like!"""
"1375",0,"""niggas stop to kill each other we need more chocolate/dark/brown skin  black sons/kids in america\ufeff and in all the world if want kill somebody  then go kill white men and crackers because they real hate us! stay  dark, black and proud! black love/black power!      KILL WHITES KILL ALL\ufeff\ufeff CRACKERS NOT YOUR PPL GUNS UP!      """
"1376",0,"""if i white girl came up to he and sad i love black guys can i touch your dick? ima say fuck it touch it and tell a MF friend"""
"1380",0,"""That guy needs to go fuck himself. Seriously"""
"1381",0,"""Either way, it shouldn't affect you.  That's why you are a PROFESSIONAL golfer.  Your one job is to focus on hitting a golf ball.  That's it."""
"1383",0,"""A nice white bed, just what you wanted."""
"1384",0,"""What the hell people got for Big Sean??? He fucking suckkkk!"""
"1385",0,"""You Spurfans sound worried. """
"1386",0,"""When you lose your cable at home, you then join the Oklahoma State football team... When you join the Oklahoma State football team, you then get selected by the Jacksonville Jaguars... When you get selected by the Jacksonville Jaguars, you then get really drunk... When you get really drunk, you then get charged with Aggravated DUI... And when you get charged with Aggravated DUI, you then shoot yourself in the leg... Don't shoot yourself in the leg, get Directv instead."""
"1387",0,"""Because what else would you say?"""
"1388",0,"""damn chamillionaire must be ashamed of himself. fuckin with some RAT ass mud shark. talkin about cops and shit hahaha you mad as hell. take the insult/joke on the chin and keep it movin haha you tryn to sit here and argue and act tough till you realize how close my peoples actual are. you were hoping for an across the country nigga huh? hahaha keep it movin mool lover"""
"1394",0,"""You are welcome"""
"1396",0,"""Not a very smart choice for appearing on tv while saying you are not wealthy.  This woman doesn't have a clue."""
"1400",0,"""idk, just thought you were. lol"""
"1402",0,"""Why are you wearing prison orange in your avatar?"""
"1407",0,"""Always impressed by your breadth of knowledge, Rebecca. """
"1410",0,"""Your sketches are so cute. <3"""
"1411",0,"""Brilliant, brilliant - you are a star, Xochitl. Don't forget to leave a temporary email address on this blog so I can get in touch with you. """
"1413",0,"""are you getting all choked up now? hehe"""
"1414",0,"""OMG to you just sounds awesome"""
"1421",0,"""You must be from MI. Our hookers look rough"""
"1422",0,"""Every fu-cking bump is a foul when you guard LeBron."""
"1424",0,"""Greedy = anyone more successful than are you."""
"1426",0,"""You really can't cite Glenn Beck and get any respect. """
"1427",0,"""are you serious lady?!"""
"1428",0,"""Haha yes Ms Recker this is you! Homerecker!"""
"1429",0,"""You are so lucky! """
"1431",0,"""weezy got some bars and paper , but styll , aint shit with it , been wack as fuck since he drop lollipop and it gonn stay that way , cant compete against tha real no more"""
"1433",0,"""Sexist or not, trust me that this is gonna sell. Excellent trailer. Just pure violent gaming. Killing nuns and such. No other game would give us the satisfaction of killing nuns with bazookas and guns. The young guys and gals are sure to say that it's sexist and shit but players my age don't give a fuck and we just see it as a game. Nothing more nothing less.  And it's a well made trailer."""
"1436",0,"""These totally look like you."""
"1438",0,"""You are a fan of TheGnome? Hmm... a maybe. """
"1442",0,"""Wow, you get a little carried away with the word ""haters"""""
"1443",0,"""The MV is so fucking artistic.  So much symbolism and art right here.  I can't even describe how fucking AWESOME my boys are.   SO FUCKING HAPPY RIGHT NOW. xD"""
"1445",0,"""its so fucking cute """
"1446",0,"""great photos ashley!! you are so talented! """
"1448",0,"""you ,,,,, are ,,,, funny....,???"""
"1450",0,"""This kind of comes across a bit jealous.  Whether people think he's funny or not, that's a matter of opinion, saying somebody <i>isn't</i> funny would be your opinion, and you're welcome to it. I never thought he came across like an asshole, though."""
"1451",0,"""codehpro are you on?\r """
"1452",0,"""You being a Wonderful. Please be mature enough.  WTF."""
"1453",0,"""Looks like you're going places!"""
"1454",0,"""OMFG I HAVE SEEN IT ON TV!! THOSE POSSITIONS OMG OMFG I WILL DO ANYTHING TO BE TRAINED PERSONALLY BY MY ULTIMATE BIAS OH DEAR FUCKING INDEED FUCKING GOD!!!!!!"""
"1456",0,"""Appreciate what you are doing ...keep going...."""
"1460",0,"""How would you like to call that mom!"""
"1462",0,"""You and your wife never cried when your first child arrived then?"""
"1465",0,"""I'll tell you who, NIGGERS """
"1467",0,"""Are you his son?"""
"1470",0,"""Hey Geraldo! I know you don't inhale, because you hang will Bill Clinton. Do you exchange lies with him too???  I'll bet you do!! SMOKE THAT CRACK BROTHER!!!  YOU'RE THE MAN ON CRACK, NOT MONKTON!!!   HE'S STRAIGHT UP!!! YOU'RE NOT!!"""
"1471",0,"""There's really only 2 reasons for voting for Obozo, either you're a moron, or you're an idiot!"""
"1479",0,"""Before I look dumb to@avclub-d9773268b3b8a34af17f8cff7aa99c8f:disqusand@avclub-ad8fd4291fac0d1d7dbfe8d4c83c467e:disqus,I'd like to point I count AT least Slanted - Terror Twilight, and because I'm a dick will throw Westing in there, even if it's a compilation, it's all non-album tracks. I would like to add Pavement is the greatest band of all time. I'd also like to make sure it's noted that I believe in The Bends - In Rainbows, with four of them (Bends, OK, Kid A, and In Rainbows) being 10/10, perfect albums, and the other two (Amnesiac and HTTT) being 9 1/2 so-close to perfect, still immaculate records. """
"1480",0,"""As are you."""
"1481",0,"""You don't say?"""
"1482",0,"""It turns out that parents just don't understand."""
"1483",0,"""awhhh thanks @Heidi Rhoades ! You are too kind """
"1486",0,"""You're such a pilot! hahaha"""
"1487",0,"""5 or 6................................................what are you picking"""
"1488",0,"""No need to name call!! Grow up, we're all men here, unless you're a boy."""
"1489",0,"""Your comment must be approved by a moderator before appearing here. """
"1492",0,"""So you don't have any evidence at all, as you refuse to share it.    """
"1493",0,"""Damn he bitched up! He when from eff you to luv you... wooow """
"1494",0,"""that bitch should be smacked fir that shit... that man innocent you can see it in his eye"""
"1495",0,"""Man you know what u can do with 54 G's. You buy like 54 really hot hookers. or 540 average hookers...............I mean you get it right."""
"1496",0,"""Are you going to attend?"""
"1498",0,"""That will be my little girl someday:)"""
"1500",0,"""1/16 of govt debt is most of our country if you are not to good with math"""
"1502",0,"""People who write like you do and talk like you do are NOT nice people. Your language shows you to be immature and uneducated."""
"1504",0,"""Thunder have trash bench take away harden..what games u be watching?"""
"1505",0,"""ARE YOU KIDDING ME?!?!?!?!?!!?!?!?!?!?!?!??!?"""
"1508",0,"""That's cool!     Are you in a small or medium size town?"""
"1509",0,"""You have a driveway leading to your trailer!!! Cool..."""
"1510",0,"""We went every Friday night and you got the little balloon man with the cardboard feet! """
"1511",0,"""Zimmerman your heroand leaderlied to the judge twice while in court on a bond hearing, you most definitely need a reality check because you are in serious denial because of your hatred towards black people"""
"1514",0,"""These are weighty maaters. CJ give guidance. You are the only sober mind in high office."""
"1515",0,"""Or you could be astro and"""
"1516",0,"""@YinzerinCTDid you enjoy your ghost story yesterday?"""
"1517",0,"""No you don't!"""
"1519",0,"""I'm with you there. There never pull guns on CEOs."""
"1520",0,"""What is it with Harriett Harman ? When she was Home Secretary, she spent most of her time working on legislation dealing with such things as prostitution and genital mutilation. Now she writes about exquisite torture. Is she an avid fan of ""50 shades of grey"" ?"""
"1522",0,"""Whoever mobbed them, the are fuckin stupid. """
"1523",0,"""Okay.... you're reported."""
"1524",0,"""You are really doing nice work..................Hats off.............."""
"1525",0,"""You're hot!"""
"1526",0,"""You got that right, Just ask your wife."""
"1527",0,"""Dont blame rap the black community always been fucked up hes just mad he never made it"""
"1529",0,"""IF the Obama people didn't realize it before, the Rmoney people are a bunch of moral-less nasty fucks.   I guess they deserve each other then. I just want someone to represent me.   I guess not. . . . """
"1530",0,"""Even better, plug the crock pot into an outlet on your back porch or in your garage! Then you add zero heat to the room! """
"1531",0,"""If your ""poor"" how do you become overweight"""
"1532",0,"""Who are you?"""
"1533",0,"""Not you again."""
"1536",0,"""I had to stop mid way! These three idiotys are like the blind leading the blind. Wake up Negros and all you communists, we will never back down from any of you race baiting lazy fucks!"""
"1538",0,"""Think you'll be young forever? Or is your life style such that you expect to die from it before you reach old age?"""
"1540",0,"""He also taught us to stay the fuck away from ice-nine. """
"1541",0,"""What are you waiting for?"""
"1543",0,"""FUCK\ufeff """
"1547",0,"""Who are you talking about?"""
"1548",0,"""Then you are clearly going to the wrong hairstylist"""
"1549",0,"""you are too excited, LOL"""
"1550",0,"""Man your the smack talker you have already cursed at us today! """
"1551",0,"""Are you fucking kidding me ?!"""
"1552",0,"""Haley, all of your interviews are great, because you are great! and wonderful! and beautiful! and ... I love you."""
"1555",0,""" When the Pacers are your biggest threat, you know you are playing in a vastly inferior conference"""
"1556",0,"""""Roommates1&2""  This is starting to sound like a fucking Doctor Seuss Book all over again. Hey guy who ever posted this, get the FUCK out of there while you still can! This girl and people like this are TROUBLE and you don't want them in your life"""
"1558",0,"""she got fucked up it was wrong tho"""
"1559",0,"""Then why are you reading it and leaving comments? Just wondering."""
"1560",0,"""Look again. This isn't about the control room when *spoilers* you kill guilty spark.. its when you do the warthog run... it's not ""false"". When the pannels begin to fall, you are at the silent cartographer's island."""
"1561",0,"""You're full of logical fallacy."""
"1562",0,"""These are your colors!"""
"1566",0,"""really? My goodness you are easy. """
"1567",0,"""Love you Rose! """
"1569",0,"""Are you the innocent victim of media manipulation?"""
"1571",0,"""Mindless drones can be good friends. Besides, he knows damn well what I think about iFans/iSheep/drones, etc. It's just on a tech aspect of things. It doesn't interfere with out friendship on a day-to-day basis. Just the same, he bashes the shit out of Fandroids, saying things far worse than 'mindless drones', I assure you. Ultimately it's all in good fun, really. I'm always amused by how riled up some of you iSheep get over my comments. """
"1572",0,"""You are indeed very knowledgeable """
"1573",0,"""It kind of is. SMH. Then when you call these hoes out on their bullshit, they callin foul and the simps, manginas, and down low homo thugs are there to back them up. It's ridiculous."""
"1574",0,"""well we know he is illegal and if he steals the white house again.i can say fuck the gov and will no longer acknowledges its power"""
"1578",0,"""are you a plumber or an electrician?"""
"1579",0,"""I don't wash no brownies but that shit was mad funny though and on point haha....that fucking live jasmine shit had me rolling though...thats a waste of bandwidth and annoying """
"1580",0,"""Mane Wiz Khalifa And Taylor Gang Look Like They Be Having Fun AF On Your An Shit , TRIPPY NIGGA !!!! """
"1581",0,"""You sound like a Syracuse fan."""
"1583",0,"""You *are* Tommy Hendricks, aren't you?"""
"1585",0,"""Bless you for all your wonderful pins on pay it forward,and all your other pins.Hope all is good with you and you loved ones."""
"1586",0,"""Where in SF are you located?  lacsf2@gmail.com"""
"1587",0,"""I get what you're saying, but that's part of separating the art from the artist, at least to me. As long as some numb fuck like, say, Tyler the Creator isn't literally going out and, oh, skull-raping an infant or whatever he raps about, I could care less if he puts it in his lyrics. I have the choice to listen or not listen. Rap is (or was, at one time) purported to be more ""real"" (though that's ultimately debatable), and ""real"" is messy; therefore, you may hear some uncomfortable shit when you listen. Just comes with the territory.  Now, granted, there are many people in the world who might take inspiration from graphic lyrics and/or miss any artistic or ironic intent, but they're fucking assholes and they would've been fucked anyway, so fuck them... kidding, I'm kidding."""
"1588",0,"""TE LA METO DE SUBIDA Y ME LA AGARRAS DE BAJADA JAJAJA"""
"1594",0,"""Are you going to sale it?"""
"1597",0,"""maybe the tree died of natural causes and man just cut it down for safety reasons! you ever think about that fucking hippy. i like it, makes a good seat to smoke pot.\r """
"1600",0,"""I suspect you'll remember that when you are demanding sources as you are wont to do at times...."""
"1602",0,"""That's like... my shit yo!"""
"1603",0,"""Oh Momma, you are so fine."""
"1608",0,"""Whatare thank you notes?"""
"1612",0,"""Save money and grow your own pesticide free vegetables on your back porch """
"1615",0,"""You don't seem to understand what nepotism means."""
"1618",0,"""Pela media de gols o Finazzi fez a mesma cisa do Barcos. oque esse cara tem de tao especial? , o Sousa esta fazendo gols pra caramba no Bahia e nao tem destaque algum..."""
"1620",0,"""Dave, where are you?????"""
"1621",0,"""I have been busy with work stuff.. you know, the kid of shit that stands in the way of having fun! I will be around tonight. I predict a pitchers duel.  ;)  Yeah - HIGH_HEELS apparently has been castrated. Although I suspect that he is still around, under an assumed identity. """
"1623",0,"""Are you using your own money - or the taxpayers?"""
"1624",0,"""I'm boiler and I'm a flaming faggot."""
